artist,image,isNew,lastPos,peakPos,rank,title,weeks,date
Santana Featuring Rob Thomas,,False,1,1,1,Smooth,15,1999-10-31
Puff Daddy Featuring R. Kelly,,False,2,2,2,Satisfy You,7,1999-10-31
Mariah Carey Featuring Jay-Z,,False,3,1,3,Heartbreaker,10,1999-10-31
Lou Bega,,False,4,4,4,Mambo No. 5 (A Little Bit Of...),11,1999-10-31
TLC,,False,5,1,5,Unpretty,20,1999-10-31
Marc Anthony,,False,7,6,6,I Need To Know,9,1999-10-31
Whitney Houston,,False,8,7,7,My Love Is Your Love,10,1999-10-31
Brian McKnight,,False,12,8,8,Back At One,11,1999-10-31
Deborah Cox With R.L.,,False,9,8,9,We Can't Be Friends,9,1999-10-31
Len,,False,14,10,10,Steal My Sunshine,13,1999-10-31
Sugar Ray,,False,11,7,11,Someday,19,1999-10-31
Red Hot Chili Peppers,,False,10,9,12,Scar Tissue,23,1999-10-31
'N Sync & Gloria Estefan,,False,6,2,13,Music Of My Heart,10,1999-10-31
Britney Spears,,False,16,14,14,(You Drive Me) Crazy,8,1999-10-31
Christina Aguilera,,False,13,1,15,Genie In A Bottle,19,1999-10-31
702,,False,15,4,16,Where My Girls At?,28,1999-10-31
98 Degrees,,False,17,13,17,I Do (Cherish You),14,1999-10-31
Ideal,,False,21,18,18,Get Gone,12,1999-10-31
Jennifer Lopez,,False,25,19,19,Waiting For Tonight,4,1999-10-31
Donell Jones,,False,24,20,20,U Know What's Up,7,1999-10-31
Ricky Martin,,False,20,2,21,She's All I Ever Had,14,1999-10-31
Smash Mouth,,False,19,4,22,All Star,25,1999-10-31
Juvenile Featuring Mannie Fresh & Lil' Wayne,,False,22,22,23,Back That Thang Up,18,1999-10-31
R. Kelly,,False,18,12,24,If I Could Turn Back The Hands Of Time,11,1999-10-31
Jessica Simpson,,False,33,25,25,I Wanna Love You Forever,4,1999-10-31
Martina McBride,,False,29,26,26,I Love You,11,1999-10-31
Goo Goo Dolls,,False,23,16,27,Black Balloon,18,1999-10-31
Warren G Featuring Mack 10,,False,28,28,28,I Want It All,8,1999-10-31
Backstreet Boys,,False,30,29,29,Larger Than Life,8,1999-10-31
Q-Tip,,False,26,26,30,Vivrant Thing,17,1999-10-31
Shania Twain,,False,35,31,31,Man! I Feel Like A Woman!,26,1999-10-31
Sixpence None The Richer,,False,36,32,32,There She Goes,9,1999-10-31
Tal Bachman,,False,31,14,33,She's So High,21,1999-10-31
Eve,,False,39,34,34,Gotta Man,8,1999-10-31
Enrique Iglesias,,False,27,1,35,Bailamos,18,1999-10-31
Tim McGraw,,False,34,28,36,Something Like That,13,1999-10-31
Backstreet Boys,,False,37,6,37,I Want It That Way,29,1999-10-31
Destiny's Child,,False,38,38,38,Bug A Boo,7,1999-10-31
Eric Benet Featuring Tamia,,False,32,21,39,Spend My Life With You,19,1999-10-31
IMx,,False,43,40,40,Stay The Night,5,1999-10-31
"B.G. Featuring Baby, Turk, Mannie Fresh, Juvenile & Lil' Wayne",,False,40,40,41,Bling Bling,8,1999-10-31
Steve Wariner,,False,42,42,42,I'm Already Taken,9,1999-10-31
Savage Garden,,False,48,43,43,I Knew I Loved You,3,1999-10-31
Mandy Moore,,False,41,41,44,Candy,9,1999-10-31
George Strait,,False,45,45,45,What Do You Say To That,10,1999-10-31
Montgomery Gentry,,False,46,46,46,Lonely And Gone,15,1999-10-31
Will Smith Featuring K-Ci,,False,60,47,47,Will 2K,2,1999-10-31
Train,,False,54,48,48,Meet Virginia,5,1999-10-31
Lenny Kravitz,,False,49,49,49,American Woman,17,1999-10-31
Blaque,,False,63,50,50,Bring It All To Me,3,1999-10-31
LeAnn Rimes,,False,51,51,51,Big Deal,4,1999-10-31
Clint Black,,False,58,52,52,When I Said I Do,4,1999-10-31
John Michael Montgomery,,False,53,53,53,Home To You,6,1999-10-31
Ginuwine,,False,44,16,54,So Anxious,17,1999-10-31
Marc Nelson,,False,59,55,55,15 Minutes,6,1999-10-31
Creed,,False,52,52,56,Higher,9,1999-10-31
Fastball,,False,56,20,57,Out Of My Head,19,1999-10-31
Mint Condition,,True,0,58,58,If You Love Me,1,1999-10-31
Smash Mouth,,False,83,59,59,Then The Morning Comes,2,1999-10-31
Melissa Etheridge,,False,57,51,60,Angels Would Fall,8,1999-10-31
Shania Twain,,False,67,61,61,Come On Over,3,1999-10-31
Brad Paisley,,False,73,62,62,He Didn't Have To Be,3,1999-10-31
Foo Fighters,,False,68,63,63,Learn To Fly,4,1999-10-31
Dixie Chicks,,False,47,39,64,Ready To Run,16,1999-10-31
Andy Griggs,,False,65,65,65,I'll Go Crazy,6,1999-10-31
Yankee Grey,,False,71,66,66,All Things Considered,8,1999-10-31
Blink-182,,False,66,58,67,What's My Age Again?,17,1999-10-31
Sole Featuring JT Money & Kandi,,False,84,68,68,"4, 5, 6",2,1999-10-31
Faith Evans,,False,64,17,69,Never Gonna Let You Go,18,1999-10-31
Ol' Dirty Bastard Featuring Kelis,,False,74,70,70,Got Your Money,3,1999-10-31
Garth Brooks as Chris Gaines,,False,55,5,71,Lost In You,9,1999-10-31
Montell Jordan,,False,80,72,72,Get It On Tonite,3,1999-10-31
Prince,,False,95,73,73,The Greatest Romance Ever Sold,3,1999-10-31
Bush,,False,75,70,74,The Chemicals Between Us,6,1999-10-31
JAY-Z,,False,70,52,75,Girls' Best Friend,11,1999-10-31
Reba,,False,88,76,76,What Do You Say,2,1999-10-31
Mark Wills,,False,62,60,77,She's In Love,9,1999-10-31
Live,,False,78,78,78,The Dolphin's Cry,4,1999-10-31
Kenny Chesney,,False,72,34,79,You Had Me From Hello,18,1999-10-31
Rage Against The Machine,,False,69,69,80,Guerrilla Radio,2,1999-10-31
Faith Hill,,True,0,81,81,Breathe,1,1999-10-31
Kid Rock,,False,82,82,82,Cowboy,2,1999-10-31
Kevon Edmonds,,True,0,83,83,24/7,1,1999-10-31
Counting Crows,,True,0,84,84,Hanginaround,1,1999-10-31
Brandy,,False,79,79,85,U Don't Know Me (Like U Used To),3,1999-10-31
Snoop Dogg Featuring Xzibit & Nate Dogg,,False,77,77,86,B-Please,5,1999-10-31
Edwin McCain,,False,85,37,87,I Could Not Ask For More,20,1999-10-31
Chad Brock,,False,86,86,88,Lightning Does The Work,11,1999-10-31
Phil Collins,,False,81,21,89,You'll Be In My Heart,19,1999-10-31
Chico DeBarge,,False,90,90,90,Give You What You Want (Fa Sure),3,1999-10-31
EVE & Nokio,,False,76,29,91,What Ya Want,19,1999-10-31
Dru Hill,,False,93,79,92,Beauty,7,1999-10-31
Ty Herndon,,False,97,93,93,Steam,4,1999-10-31
Fatboy Slim,,False,0,78,94,The Rockafeller Skank,16,1999-10-31
Silk,,False,100,62,95,Meeting In My Bedroom,12,1999-10-31
JAY-Z,,False,96,28,96,Jigga My N****,20,1999-10-31
LFO,,False,87,3,97,Summer Girls,17,1999-10-31
Amber,,False,98,93,98,Sexual (Li Da Di),14,1999-10-31
Pharoahe Monch,,False,99,99,99,Simon Says,3,1999-10-31
Tracie Spencer,,False,91,18,100,It's All About You (Not About Me),13,1999-10-31
Santana Featuring Rob Thomas,,False,1,1,1,Smooth,19,1999-11-30
Brian McKnight,,False,2,2,2,Back At One,15,1999-11-30
Marc Anthony,,False,3,3,3,I Need To Know,13,1999-11-30
Lou Bega,,False,4,3,4,Mambo No. 5 (A Little Bit Of...),15,1999-11-30
Jessica Simpson,,False,5,5,5,I Wanna Love You Forever,8,1999-11-30
Whitney Houston,,False,6,6,6,My Love Is Your Love,14,1999-11-30
Savage Garden,,False,13,7,7,I Knew I Loved You,7,1999-11-30
Jennifer Lopez,,False,9,8,8,Waiting For Tonight,8,1999-11-30
Donell Jones,,False,11,9,9,U Know What's Up,11,1999-11-30
TLC,,False,7,1,10,Unpretty,24,1999-11-30
Len,,False,12,9,11,Steal My Sunshine,17,1999-11-30
Puff Daddy Featuring R. Kelly,,False,10,2,12,Satisfy You,11,1999-11-30
702,,False,15,4,13,Where My Girls At?,32,1999-11-30
Mariah Carey Featuring Jay-Z,,False,8,1,14,Heartbreaker,14,1999-11-30
LFO,,False,16,15,15,Girl On TV,3,1999-11-30
Ideal,,False,14,13,16,Get Gone,16,1999-11-30
Blaque,,False,19,17,17,Bring It All To Me,7,1999-11-30
Britney Spears,,False,17,10,18,(You Drive Me) Crazy,12,1999-11-30
Sugar Ray,,False,18,7,19,Someday,23,1999-11-30
Juvenile Featuring Mannie Fresh & Lil' Wayne,,False,21,19,20,Back That Thang Up,22,1999-11-30
"Missy ""Misdemeanor"" Elliott Featuring NAS, EVE & Q-Tip",,False,36,21,21,Hot Boyz,2,1999-11-30
Kevon Edmonds,,False,68,22,22,24/7,5,1999-11-30
Smash Mouth,,False,27,23,23,Then The Morning Comes,6,1999-11-30
Red Hot Chili Peppers,,False,20,9,24,Scar Tissue,27,1999-11-30
Will Smith Featuring K-Ci,,False,26,25,25,Will 2K,6,1999-11-30
Train,,False,32,26,26,Meet Virginia,9,1999-11-30
98 Degrees,,False,23,13,27,I Do (Cherish You),18,1999-11-30
Christina Aguilera,,False,22,1,28,Genie In A Bottle,23,1999-11-30
Marc Nelson,,False,44,29,29,15 Minutes,10,1999-11-30
Backstreet Boys,,False,28,25,30,Larger Than Life,12,1999-11-30
Martina McBride,,False,25,24,31,I Love You,15,1999-11-30
Foo Fighters,,False,42,32,32,Learn To Fly,8,1999-11-30
Clint Black,,False,35,33,33,When I Said I Do,8,1999-11-30
IMx,,False,31,31,34,Stay The Night,9,1999-11-30
Mint Condition,,False,30,30,35,If You Love Me,5,1999-11-30
Smash Mouth,,False,29,4,36,All Star,29,1999-11-30
LeAnn Rimes,,False,41,37,37,Big Deal,8,1999-11-30
Eve,,False,33,26,38,Gotta Man,12,1999-11-30
"B.G. Featuring Baby, Turk, Mannie Fresh, Juvenile & Lil' Wayne",,False,40,36,39,Bling Bling,12,1999-11-30
Tal Bachman,,False,34,14,40,She's So High,25,1999-11-30
Sole Featuring JT Money & Kandi,,False,47,41,41,"4, 5, 6",6,1999-11-30
Faith Hill,,False,51,42,42,Breathe,5,1999-11-30
Brad Paisley,,False,46,43,43,He Didn't Have To Be,7,1999-11-30
Deborah Cox With R.L.,,False,24,8,44,We Can't Be Friends,13,1999-11-30
John Michael Montgomery,,False,48,45,45,Home To You,10,1999-11-30
Counting Crows,,False,60,46,46,Hanginaround,5,1999-11-30
Goo Goo Dolls,,False,38,16,47,Black Balloon,22,1999-11-30
Ol' Dirty Bastard Featuring Kelis,,False,59,48,48,Got Your Money,7,1999-11-30
Celine Dion,,False,65,49,49,That's The Way It Is,4,1999-11-30
Lenny Kravitz,,False,49,49,50,American Woman,21,1999-11-30
Christina Aguilera,,False,71,51,51,What A Girl Wants,2,1999-11-30
Ricky Martin,,False,66,52,52,Shake Your Bon-Bon,3,1999-11-30
Sixpence None The Richer,,False,43,32,53,There She Goes,13,1999-11-30
Montell Jordan,,False,61,54,54,Get It On Tonite,7,1999-11-30
Tim McGraw,,False,54,28,55,Something Like That,17,1999-11-30
Destiny's Child,,False,39,33,56,Bug A Boo,11,1999-11-30
Creed,,False,57,52,57,Higher,13,1999-11-30
Shania Twain,,False,58,58,58,Come On Over,7,1999-11-30
Ricky Martin,,False,52,2,59,She's All I Ever Had,18,1999-11-30
Yankee Grey,,False,64,60,60,All Things Considered,12,1999-11-30
Warren G Featuring Mack 10,,False,37,23,61,I Want It All,12,1999-11-30
M2M,,False,53,53,62,Don't Say You Love Me,3,1999-11-30
Reba,,False,69,63,63,What Do You Say,6,1999-11-30
Alan Jackson,,False,70,64,64,Pop A Top,4,1999-11-30
George Strait,,False,56,45,65,What Do You Say To That,14,1999-11-30
R. Kelly,,False,45,12,66,If I Could Turn Back The Hands Of Time,15,1999-11-30
Bush,,False,75,67,67,The Chemicals Between Us,10,1999-11-30
Prince,,False,63,63,68,The Greatest Romance Ever Sold,7,1999-11-30
Robbie Williams,,False,77,69,69,Angels,3,1999-11-30
'N Sync & Gloria Estefan,,False,62,2,70,Music Of My Heart,14,1999-11-30
Chico DeBarge,,False,78,71,71,Give You What You Want (Fa Sure),7,1999-11-30
Dixie Chicks,,False,79,72,72,Cowboy Take Me Away,2,1999-11-30
Sisqo Featuring Make It Hot,,False,76,73,73,Got To Get It,3,1999-11-30
Filter,,False,91,74,74,Take A Picture,2,1999-11-30
Mary J. Blige,,False,80,75,75,Deep Inside,4,1999-11-30
Tim McGraw,,False,85,76,76,My Best Friend,2,1999-11-30
Fatboy Slim,,False,87,77,77,The Rockafeller Skank,20,1999-11-30
Mandy Moore,,False,67,41,78,Candy,13,1999-11-30
Andy Griggs,,False,73,65,79,I'll Go Crazy,10,1999-11-30
Live,,False,81,78,80,The Dolphin's Cry,8,1999-11-30
Kenny Chesney,,False,86,81,81,She Thinks My Tractor's Sexy,3,1999-11-30
Steve Wariner,,False,72,42,82,I'm Already Taken,13,1999-11-30
Rage Against The Machine,,False,84,69,83,Guerrilla Radio,6,1999-11-30
Kelis,,True,0,84,84,Caught Out There,1,1999-11-30
Ty Herndon,,False,83,83,85,Steam,8,1999-11-30
Ice Cube Featuring Mack 10 & Ms. Toi,,True,0,86,86,You Can Do It,1,1999-11-30
Randy Travis,,False,82,82,87,A Man Ain't Made Of Stone,4,1999-11-30
Amber,,False,88,88,88,Sexual (Li Da Di),17,1999-11-30
Blink-182,,True,0,89,89,All The Small Things,1,1999-11-30
Enrique Iglesias,,True,0,90,90,Rhythm Divine,1,1999-11-30
Limp Bizkit,,True,0,91,91,Re-arranged,1,1999-11-30
Nas,,False,94,92,92,NAStradamus,2,1999-11-30
Dr. Dre Featuring Snoop Dogg,,False,93,93,93,Still D.R.E.,2,1999-11-30
Limp Bizkit Featuring Method Man,,True,0,94,94,N 2 Gether Now,1,1999-11-30
Clay Walker,,True,0,95,95,"Live, Laugh, Love",1,1999-11-30
Dru Hill,,False,97,79,96,Beauty,11,1999-11-30
Snoop Dogg Featuring Xzibit & Nate Dogg,,False,96,77,97,B-Please,9,1999-11-30
Montgomery Gentry,,False,74,46,98,Lonely And Gone,19,1999-11-30
Lil' Wayne Featuring Juvenile & B.G.,,True,0,99,99,Tha Block Is Hot,1,1999-11-30
Beth Hart,,False,99,99,100,L.A. Song,2,1999-11-30
Santana Featuring Rob Thomas,,False,1,1,1,Smooth,23,1999-12-31
Brian McKnight,,False,2,2,2,Back At One,19,1999-12-31
Jessica Simpson,,False,3,3,3,I Wanna Love You Forever,12,1999-12-31
Whitney Houston,,False,5,4,4,My Love Is Your Love,18,1999-12-31
Savage Garden,,False,4,4,5,I Knew I Loved You,11,1999-12-31
Marc Anthony,,False,6,3,6,I Need To Know,17,1999-12-31
"Missy ""Misdemeanor"" Elliott Featuring NAS, EVE & Q-Tip",,False,7,7,7,Hot Boyz,6,1999-12-31
Donell Jones,,False,8,7,8,U Know What's Up,15,1999-12-31
Blaque,,False,9,9,9,Bring It All To Me,11,1999-12-31
LFO,,False,11,10,10,Girl On TV,7,1999-12-31
Christina Aguilera,,False,13,11,11,What A Girl Wants,6,1999-12-31
Kevon Edmonds,,False,10,10,12,24/7,9,1999-12-31
Eiffel 65,,False,16,13,13,Blue (Da Ba Dee),4,1999-12-31
Smash Mouth,,False,14,14,14,Then The Morning Comes,10,1999-12-31
Jagged Edge,,False,17,15,15,He Can't Love U,4,1999-12-31
Jennifer Lopez,,False,12,8,16,Waiting For Tonight,12,1999-12-31
Celine Dion,,False,30,17,17,That's The Way It Is,8,1999-12-31
Christina Aguilera,,False,47,18,18,The Christmas Song (Chestnuts Roasting On An Open Fire),3,1999-12-31
Guy,,False,29,19,19,Dancin',3,1999-12-31
Len,,False,15,9,20,Steal My Sunshine,21,1999-12-31
Montell Jordan,,False,24,21,21,Get It On Tonite,11,1999-12-31
Foo Fighters,,False,22,22,22,Learn To Fly,12,1999-12-31
LeAnn Rimes,,False,26,23,23,Big Deal,12,1999-12-31
Train,,False,21,21,24,Meet Virginia,13,1999-12-31
TLC,,False,20,1,25,Unpretty,28,1999-12-31
Faith Hill,,False,28,26,26,Breathe,9,1999-12-31
Juvenile Featuring Mannie Fresh & Lil' Wayne,,False,25,19,27,Back That Thang Up,26,1999-12-31
Sole Featuring JT Money & Kandi,,False,23,21,28,"4, 5, 6",10,1999-12-31
IMx,,False,36,29,29,Stay The Night,13,1999-12-31
M2M,,False,44,30,30,Don't Say You Love Me,7,1999-12-31
702,,False,19,4,31,Where My Girls At?,36,1999-12-31
Lou Bega,,False,18,3,32,Mambo No. 5 (A Little Bit Of...),19,1999-12-31
Counting Crows,,False,35,33,33,Hanginaround,9,1999-12-31
Filter,,False,38,34,34,Take A Picture,6,1999-12-31
Ideal,,False,27,13,35,Get Gone,20,1999-12-31
Sugar Ray,,False,34,7,36,Someday,27,1999-12-31
Brad Paisley,,False,31,30,37,He Didn't Have To Be,11,1999-12-31
Ol' Dirty Bastard Featuring Kelis,,False,33,33,38,Got Your Money,11,1999-12-31
Ricky Martin,,False,39,39,39,Shake Your Bon-Bon,7,1999-12-31
Mint Condition,,False,40,30,40,If You Love Me,9,1999-12-31
Goo Goo Dolls,,False,37,16,41,Black Balloon,26,1999-12-31
Enrique Iglesias,,False,67,42,42,Rhythm Divine,5,1999-12-31
Mariah Carey Featuring Joe & 98 Degrees,,False,50,43,43,Thank God I Found You,4,1999-12-31
Puff Daddy Featuring R. Kelly,,False,32,2,44,Satisfy You,15,1999-12-31
Lonestar,,False,45,24,45,Amazed,22,1999-12-31
Reba,,False,46,46,46,What Do You Say,10,1999-12-31
Ice Cube Featuring Mack 10 & Ms. Toi,,False,42,42,47,You Can Do It,5,1999-12-31
Dixie Chicks,,False,52,48,48,Cowboy Take Me Away,6,1999-12-31
Clint Black,,False,41,31,49,When I Said I Do,12,1999-12-31
Tim McGraw,,False,54,50,50,My Best Friend,6,1999-12-31
Sisqo Featuring Make It Hot,,False,48,48,51,Got To Get It,7,1999-12-31
Blink-182,,False,59,52,52,All The Small Things,5,1999-12-31
98 Degrees,,True,0,53,53,This Gift,1,1999-12-31
Kenny G,,False,89,54,54,Auld Lang Syne,2,1999-12-31
Robbie Williams,,False,56,55,55,Angels,7,1999-12-31
Destiny's Child,,False,83,56,56,Say My Name,2,1999-12-31
Alan Jackson,,False,55,55,57,Pop A Top,8,1999-12-31
Kelis,,False,63,58,58,Caught Out There,5,1999-12-31
Marc Nelson,,False,43,27,59,15 Minutes,14,1999-12-31
Mariah Carey Featuring Jay-Z,,False,51,1,60,Heartbreaker,18,1999-12-31
Creed,,False,61,52,61,Higher,17,1999-12-31
"B.G. Featuring Baby, Turk, Mannie Fresh, Juvenile & Lil' Wayne",,False,62,36,62,Bling Bling,16,1999-12-31
Will Smith Featuring K-Ci,,False,58,25,63,Will 2K,10,1999-12-31
Mary J. Blige,,False,64,64,64,Deep Inside,8,1999-12-31
Yankee Grey,,False,57,55,65,All Things Considered,16,1999-12-31
Martina McBride,,False,60,24,66,I Love You,19,1999-12-31
Amber,,False,69,67,67,Sexual (Li Da Di),21,1999-12-31
Ginuwine,,False,71,68,68,None Of Ur Friends Business,4,1999-12-31
SHeDAISY,,False,97,69,69,Deck The Halls,2,1999-12-31
D'Angelo Featuring Method Man And Redman,,False,75,70,70,Left & Right,4,1999-12-31
Lonestar,,False,80,71,71,Smile,3,1999-12-31
R.E.M.,,False,79,72,72,The Great Beyond,2,1999-12-31
Destiny's Child,,False,72,33,73,Bug A Boo,15,1999-12-31
Backstreet Boys,,True,0,74,74,Show Me The Meaning Of Being Lonely,1,1999-12-31
Deborah Cox With R.L.,,False,77,8,75,We Can't Be Friends,17,1999-12-31
Britney Spears,,False,53,10,76,(You Drive Me) Crazy,16,1999-12-31
J-Shin Featuring LaTocha Scott,,False,96,77,77,One Night Stand,2,1999-12-31
Limp Bizkit Featuring Method Man,,False,78,78,78,N 2 Gether Now,5,1999-12-31
Angie Stone,,False,86,79,79,No More Rain (In This Cloud),2,1999-12-31
John Michael Montgomery,,False,68,45,80,Home To You,14,1999-12-31
Bush,,False,73,67,81,The Chemicals Between Us,14,1999-12-31
Lil' Wayne Featuring Juvenile & B.G.,,False,84,82,82,Tha Block Is Hot,5,1999-12-31
Rage Against The Machine,,False,87,69,83,Guerrilla Radio,10,1999-12-31
Clay Walker,,False,94,84,84,"Live, Laugh, Love",5,1999-12-31
The Notorious B.I.G. Featuring Puff Daddy & Lil' Kim,,False,88,82,85,Notorious B.I.G.,4,1999-12-31
Kenny Chesney,,False,74,74,86,She Thinks My Tractor's Sexy,7,1999-12-31
Backstreet Boys,,False,70,25,87,Larger Than Life,16,1999-12-31
Sixpence None The Richer,,False,76,32,88,There She Goes,17,1999-12-31
Prince,,False,92,63,89,The Greatest Romance Ever Sold,11,1999-12-31
Fatboy Slim,,False,82,77,90,The Rockafeller Skank,24,1999-12-31
Chico DeBarge,,False,90,71,91,Give You What You Want (Fa Sure),11,1999-12-31
'N Sync & Gloria Estefan,,False,85,2,92,Music Of My Heart,18,1999-12-31
