artist,image,isNew,lastPos,peakPos,rank,title,weeks,date
NAS Featuring Ginuwine,,False,88,59,95,You Owe Me,15,2000-06-30
Phil Vassar,,False,91,45,96,Carlene,18,2000-06-30
En Vogue,,False,92,92,97,Riddle,3,2000-06-30
DMX Featuring Sisqo,,True,0,98,98,What You Want,1,2000-06-30
Snoop Dogg Presents Tha Eastsidaz Featuring Jayo Felony And Blaqthoven,,True,0,99,99,Got Beef,1,2000-06-30
Clint Black With Steve Wariner,,False,95,44,100,Been There,20,2000-06-30
'N Sync,,False,1,1,1,It's Gonna Be Me,14,2000-07-31
Sisqo,,False,55,2,2,Incomplete,7,2000-07-31
matchbox twenty,,False,2,1,3,Bent,15,2000-07-31
Vertical Horizon,,False,3,1,4,Everything You Want,29,2000-07-31
Aaliyah,,False,4,1,5,Try Again,21,2000-07-31
Destiny's Child,,False,8,6,6,"Jumpin', Jumpin'",13,2000-07-31
Joe,,False,5,4,7,I Wanna Know,32,2000-07-31
Nine Days,,False,6,6,8,Absolutely (Story Of A Girl),14,2000-07-31
Creed,,False,7,7,9,Higher,40,2000-07-31
Janet,,False,15,10,10,Doesn't Really Matter,8,2000-07-31
Toni Braxton,,False,10,2,11,He Wasn't Man Enough,21,2000-07-31
P!nk,,False,9,7,12,There You Go,23,2000-07-31
LeAnn Rimes,,False,50,13,13,I Need You,11,2000-07-31
Jagged Edge,,False,11,11,14,Let's Get Married,14,2000-07-31
Ruff Endz,,False,12,12,15,No More,6,2000-07-31
BBMak,,False,13,13,16,Back Here,15,2000-07-31
Nelly,,False,21,17,17,(Hot S**t) Country Grammar,15,2000-07-31
3 Doors Down,,False,22,18,18,Kryptonite,18,2000-07-31
Sting Featuring Cheb Mami,,False,19,19,19,Desert Rose,13,2000-07-31
Marc Anthony,,False,20,2,20,You Sang To Me,24,2000-07-31
Next,,False,24,21,21,Wifey,11,2000-07-31
Faith Hill,,False,18,2,22,Breathe,40,2000-07-31
Jessica Simpson,,False,25,23,23,I Think I'm In Love With You,6,2000-07-31
Enrique Iglesias,,False,14,1,24,Be With You,19,2000-07-31
Christina Aguilera,,False,17,3,25,I Turn To You,17,2000-07-31
Dr. Dre Featuring Snoop Dogg,,False,23,23,26,The Next Episode,11,2000-07-31
Avant,,False,29,23,27,Separated,15,2000-07-31
Mandy Moore,,False,31,28,28,I Wanna Be With You,8,2000-07-31
Jay-Z Featuring UGK,,False,26,18,29,Big Pimpin',16,2000-07-31
Eminem,,False,16,4,30,The Real Slim Shady,14,2000-07-31
Da Brat Featuring Tyrese,,False,28,28,31,What'Chu Like,10,2000-07-31
Son By Four,,False,30,30,32,Purest Of Pain (A Puro Dolor),18,2000-07-31
Everclear,,False,37,33,33,Wonderful,5,2000-07-31
Macy Gray,,False,27,5,34,I Try,25,2000-07-31
Lee Ann Womack,,False,32,32,35,I Hope You Dance,13,2000-07-31
Lara Fabian,,False,40,36,36,I Will Love Again,9,2000-07-31
Lonestar,,False,39,37,37,What About Now,9,2000-07-31
Jo Dee Messina,,False,44,38,38,That's The Way,7,2000-07-31
Santana Featuring Rob Thomas,,False,41,1,39,Smooth,54,2000-07-31
Donell Jones,,False,34,29,40,Where I Wanna Be,16,2000-07-31
Rascal Flatts,,False,46,41,41,Prayin' For Daylight,14,2000-07-31
Lonestar,,False,42,1,42,Amazed,53,2000-07-31
Lucy Pearl,,False,36,36,43,Dance Tonight,12,2000-07-31
Alan Jackson,,False,49,44,44,It Must Be Love,7,2000-07-31
Westlife,,False,33,20,45,Swear It Again,19,2000-07-31
Sisqo,,False,43,3,46,Thong Song,28,2000-07-31
Santana Featuring The Product G&B,,False,48,1,47,Maria Maria,26,2000-07-31
No Doubt,,False,38,38,48,Simple Kind Of Life,6,2000-07-31
Britney Spears,,False,35,9,49,Oops!...I Did It Again,16,2000-07-31
Chad Brock,,False,45,22,50,Yes!,18,2000-07-31
Eric Heatherly,,False,53,51,51,Flowers On The Wall,15,2000-07-31
Whitney Houston & Enrique Iglesias,,False,60,52,52,Could I Have This Kiss Forever,8,2000-07-31
Reba McEntire,,False,51,51,53,I'll Be,13,2000-07-31
Ideal Featuring Lil' Mo,,False,54,54,54,Whatever,9,2000-07-31
Billy Gilman,,False,56,55,55,One Voice,8,2000-07-31
SoulDecision Featuring Thrust,,False,64,56,56,Faded,5,2000-07-31
Christina Aguilera,,True,0,57,57,Come On Over Baby (All I Want Is You),1,2000-07-31
Don Henley,,False,62,58,58,Taking You Home,7,2000-07-31
Sister Hazel,,False,66,59,59,Change Your Mind,4,2000-07-31
Lil' Kim,,False,67,60,60,No Matter What They Say,4,2000-07-31
SHeDAISY,,False,70,61,61,I Will...But,4,2000-07-31
Goo Goo Dolls,,False,57,24,62,Broadway,16,2000-07-31
Savage Garden,,False,58,24,63,Crash And Burn,18,2000-07-31
Kelly Price,,False,69,64,64,As We Lay,4,2000-07-31
Dixie Chicks,,False,68,65,65,Cold Day In July,7,2000-07-31
Kandi,,True,0,66,66,Don't Think I'm Not,1,2000-07-31
Carl Thomas,,False,52,20,67,I Wish,20,2000-07-31
Alice Deejay,,False,65,27,68,Better Off Alone,18,2000-07-31
Toni Braxton,,False,76,69,69,Just Be A Man About It,2,2000-07-31
Tim McGraw,,False,59,58,70,Some Things Never Change,13,2000-07-31
Papa Roach,,False,75,71,71,Last Resort,2,2000-07-31
Red Hot Chili Peppers,,False,72,72,72,Californication,2,2000-07-31
Keith Urban,,False,73,73,73,Your Everything,4,2000-07-31
Brooks & Dunn,,False,74,74,74,You'll Always Be Loved By Me,9,2000-07-31
Common,,True,0,75,75,The Light,1,2000-07-31
Backstreet Boys,,False,61,30,76,The One,11,2000-07-31
Joe,,True,0,77,77,Treat Her Like A Lady,1,2000-07-31
Stone Temple Pilots,,False,78,78,78,Sour Girl,5,2000-07-31
DMX Featuring Sisqo,,False,86,79,79,What You Want,6,2000-07-31
Darryl Worley,,False,80,80,80,When You Need My Love,9,2000-07-31
Splender,,False,71,62,81,I Think God Can Explain,9,2000-07-31
Toby Keith,,True,0,82,82,Country Comes To Town,1,2000-07-31
Clay Davidson,,False,63,49,83,Unconditional,20,2000-07-31
Creed,,False,79,68,84,With Arms Wide Open,13,2000-07-31
Baha Men,,False,92,85,85,Who Let The Dogs Out,3,2000-07-31
Debelah Morgan,,False,91,86,86,Dance With Me,2,2000-07-31
Metallica,,False,82,76,87,I Disappear,13,2000-07-31
Whitney Houston & Deborah Cox,,False,77,70,88,"Same Script, Different Cast",8,2000-07-31
Lil' Zane Featuring 112,,False,83,83,89,Callin' Me,2,2000-07-31
Clay Walker,,False,81,40,90,The Chain Of Love,17,2000-07-31
Eve & Jadakiss,,False,88,88,91,Got It All,4,2000-07-31
504 Boyz,,False,85,17,92,Wobble Wobble,17,2000-07-31
Madison Avenue,,False,93,93,93,Don't Call Me Baby,5,2000-07-31
Mary Mary,,False,84,28,94,Shackles (Praise You),20,2000-07-31
Mariah Carey Featuring Snoop Dogg,,False,90,28,95,Crybaby,7,2000-07-31
LFO,,True,0,96,96,West Side Story,1,2000-07-31
Mya Featuring Jadakiss,,False,94,50,97,Best Of Me,17,2000-07-31
Ghostface Killah,,True,0,98,98,Cherchez LaGhost,1,2000-07-31
"Torrey Carter Featuring Missy ""Misdemeanor"" Elliott",,False,87,86,99,Take That,7,2000-07-31
A*Teens,,False,95,95,100,Dancing Queen,5,2000-07-31
Janet,,False,1,1,1,Doesn't Really Matter,12,2000-08-31
Sisqo,,False,2,1,2,Incomplete,11,2000-08-31
Destiny's Child,,False,4,3,3,"Jumpin', Jumpin'",17,2000-08-31
matchbox twenty,,False,3,1,4,Bent,19,2000-08-31
Ruff Endz,,False,7,5,5,No More,10,2000-08-31
Joe,,False,5,4,6,I Wanna Know,36,2000-08-31
3 Doors Down,,False,12,7,7,Kryptonite,22,2000-08-31
Next,,False,19,8,8,Wifey,15,2000-08-31
Nine Days,,False,8,6,9,Absolutely (Story Of A Girl),18,2000-08-31
'N Sync,,False,6,1,10,It's Gonna Be Me,18,2000-08-31
Nelly,,False,11,11,11,(Hot S**t) Country Grammar,19,2000-08-31
LeAnn Rimes,,False,15,11,12,I Need You,15,2000-08-31
Aaliyah,,False,9,1,13,Try Again,25,2000-08-31
Madonna,,False,18,14,14,Music,4,2000-08-31
Toni Braxton,,False,13,2,15,He Wasn't Man Enough,25,2000-08-31
Creed,,False,14,7,16,Higher,44,2000-08-31
BBMak,,False,16,13,17,Back Here,19,2000-08-31
Vertical Horizon,,False,10,1,18,Everything You Want,33,2000-08-31
Sting Featuring Cheb Mami,,False,17,17,19,Desert Rose,17,2000-08-31
Jagged Edge,,False,20,11,20,Let's Get Married,18,2000-08-31
Lil' Zane Featuring 112,,False,34,21,21,Callin' Me,6,2000-08-31
Everclear,,False,23,22,22,Wonderful,9,2000-08-31
Christina Aguilera,,False,29,23,23,Come On Over Baby (All I Want Is You),5,2000-08-31
Lil Bow Wow Featuring Xscape,,False,35,24,24,Bounce With Me,3,2000-08-31
SoulDecision Featuring Thrust,,False,27,25,25,Faded,9,2000-08-31
Britney Spears,,False,28,26,26,Lucky,4,2000-08-31
Jessica Simpson,,False,21,21,27,I Think I'm In Love With You,10,2000-08-31
Son By Four,,False,31,26,28,Purest Of Pain (A Puro Dolor),22,2000-08-31
Marc Anthony,,False,26,2,29,You Sang To Me,28,2000-08-31
Faith Hill,,False,24,2,30,Breathe,44,2000-08-31
Jo Dee Messina,,False,25,25,31,That's The Way,11,2000-08-31
Toni Braxton,,False,37,32,32,Just Be A Man About It,6,2000-08-31
P!nk,,False,22,7,33,There You Go,27,2000-08-31
98 Degrees,,False,39,34,34,Give Me Just One Night (Una Noche),3,2000-08-31
Lonestar,,False,30,30,35,What About Now,13,2000-08-31
P!nk,,False,52,36,36,Most Girls,4,2000-08-31
Alan Jackson,,False,38,37,37,It Must Be Love,11,2000-08-31
Billy Gilman,,False,43,38,38,One Voice,12,2000-08-31
Da Brat Featuring Tyrese,,False,36,26,39,What'Chu Like,14,2000-08-31
Avant,,False,33,23,40,Separated,19,2000-08-31
Mystikal,,False,65,41,41,Shake Ya Ass,4,2000-08-31
Erykah Badu,,False,53,42,42,Bag Lady,3,2000-08-31
Christina Aguilera,,False,40,3,43,I Turn To You,21,2000-08-31
Dr. Dre Featuring Snoop Dogg,,False,32,23,44,The Next Episode,15,2000-08-31
Creed,,False,62,45,45,With Arms Wide Open,17,2000-08-31
Common,,False,49,46,46,The Light,5,2000-08-31
SHeDAISY,,False,48,47,47,I Will...But,8,2000-08-31
Santana Featuring Rob Thomas,,False,46,1,48,Smooth,58,2000-08-31
Kandi,,False,61,49,49,Don't Think I'm Not,5,2000-08-31
Jay-Z Featuring UGK,,False,41,18,50,Big Pimpin',20,2000-08-31
Bon Jovi,,False,51,51,51,It's My Life,4,2000-08-31
Mya,,False,57,52,52,Case Of The Ex (Whatcha Gonna Do),3,2000-08-31
Mandy Moore,,False,42,24,53,I Wanna Be With You,12,2000-08-31
Lee Ann Womack,,False,44,32,54,I Hope You Dance,17,2000-08-31
Vertical Horizon,,False,64,55,55,You're A God,2,2000-08-31
Brooks & Dunn,,False,56,56,56,You'll Always Be Loved By Me,13,2000-08-31
DMX Featuring Sisqo,,False,58,57,57,What You Want,10,2000-08-31
Debelah Morgan,,False,70,58,58,Dance With Me,6,2000-08-31
Keith Urban,,False,60,59,59,Your Everything,8,2000-08-31
Ideal Featuring Lil' Mo,,False,50,47,60,Whatever,13,2000-08-31
Baha Men,,False,54,54,61,Who Let The Dogs Out,7,2000-08-31
Donell Jones,,False,55,29,62,Where I Wanna Be,20,2000-08-31
Joe Diffie,,False,67,63,63,It's Always Somethin',4,2000-08-31
Papa Roach,,False,66,64,64,Last Resort,6,2000-08-31
Rascal Flatts,,False,47,38,65,Prayin' For Daylight,18,2000-08-31
Toby Keith,,False,69,66,66,Country Comes To Town,5,2000-08-31
George Strait,,False,71,67,67,Go On,2,2000-08-31
Lara Fabian,,False,45,32,68,I Will Love Again,13,2000-08-31
Joe,,False,63,63,69,Treat Her Like A Lady,5,2000-08-31
Whitney Houston & Enrique Iglesias,,False,59,52,70,Could I Have This Kiss Forever,12,2000-08-31
Don Henley,,False,68,58,71,Taking You Home,11,2000-08-31
Aaron Tippin,,False,74,72,72,Kiss This,2,2000-08-31
Faith Hill With Tim McGraw,,False,73,73,73,Let's Make Love,4,2000-08-31
Eminem,,False,87,74,74,The Way I Am,2,2000-08-31
Aaron Carter,,False,99,75,75,Aaron's Party (Come Get It),2,2000-08-31
Yolanda Adams,,False,76,76,76,Open My Heart,2,2000-08-31
Red Hot Chili Peppers,,False,79,72,77,Californication,6,2000-08-31
Darryl Worley,,False,75,75,78,When You Need My Love,13,2000-08-31
Travis Tritt,,False,86,79,79,Best Of Intentions,3,2000-08-31
Third Eye Blind,,True,0,80,80,Deep Inside Of You,1,2000-08-31
Sister Hazel,,False,78,59,81,Change Your Mind,8,2000-08-31
Vince Gill,,True,0,82,82,Feels Like Love,1,2000-08-31
Eric Heatherly,,False,77,50,83,Flowers On The Wall,19,2000-08-31
Lucy Pearl,,False,72,36,84,Dance Tonight,16,2000-08-31
No Doubt,,False,80,38,85,Simple Kind Of Life,10,2000-08-31
Lil' Kim,,False,81,60,86,No Matter What They Say,8,2000-08-31
Goo Goo Dolls,,False,85,24,87,Broadway,20,2000-08-31
Eminem,,False,83,4,88,The Real Slim Shady,18,2000-08-31
Kelly Price,,False,82,64,89,As We Lay,8,2000-08-31
Madison Avenue,,False,92,90,90,Don't Call Me Baby,9,2000-08-31
2Gether,,True,0,91,91,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),1,2000-08-31
Gerald Levert,,False,89,89,92,Baby U Are,3,2000-08-31
Reba McEntire,,False,84,51,93,I'll Be,17,2000-08-31
Jay-Z Featuring Memphis Bleek & Amil,,False,98,94,94,Hey Papi,4,2000-08-31
Stone Temple Pilots,,False,88,78,95,Sour Girl,9,2000-08-31
Britney Spears,,False,90,9,96,Oops!...I Did It Again,20,2000-08-31
Lil' Mo,,False,97,97,97,Ta Da,4,2000-08-31
Metallica,,False,94,76,98,I Disappear,17,2000-08-31
Zombie Nation,,True,0,99,99,Kernkraft 400,1,2000-08-31
Backstreet Boys,,False,93,30,100,The One,15,2000-08-31
Madonna,,False,1,1,1,Music,8,2000-09-30
98 Degrees,,False,19,2,2,Give Me Just One Night (Una Noche),7,2000-09-30
Janet,,False,2,1,3,Doesn't Really Matter,16,2000-09-30
Destiny's Child,,False,3,3,4,"Jumpin', Jumpin'",21,2000-09-30
3 Doors Down,,False,6,5,5,Kryptonite,26,2000-09-30
matchbox twenty,,False,4,1,6,Bent,23,2000-09-30
Sisqo,,False,5,1,7,Incomplete,15,2000-09-30
Nelly,,False,7,7,8,(Hot S**t) Country Grammar,23,2000-09-30
Christina Aguilera,,False,9,9,9,Come On Over Baby (All I Want Is You),9,2000-09-30
Creed,,False,11,10,10,With Arms Wide Open,21,2000-09-30
Everclear,,False,25,11,11,Wonderful,13,2000-09-30
Ruff Endz,,False,10,5,12,No More,14,2000-09-30
P!nk,,False,15,13,13,Most Girls,8,2000-09-30
Joe,,False,8,4,14,I Wanna Know,40,2000-09-30
Mystikal,,False,22,15,15,Shake Ya Ass,8,2000-09-30
BBMak,,False,17,13,16,Back Here,23,2000-09-30
Toni Braxton,,False,13,2,17,He Wasn't Man Enough,29,2000-09-30
Nine Days,,False,14,6,18,Absolutely (Story Of A Girl),22,2000-09-30
LeAnn Rimes,,False,16,11,19,I Need You,19,2000-09-30
Lil Bow Wow Featuring Xscape,,False,20,20,20,Bounce With Me,7,2000-09-30
Next,,False,12,7,21,Wifey,19,2000-09-30
Aaliyah,,False,23,1,22,Try Again,29,2000-09-30
'N Sync,,False,18,1,23,It's Gonna Be Me,22,2000-09-30
Mya,,False,31,24,24,Case Of The Ex (Whatcha Gonna Do),7,2000-09-30
Profyle,,False,32,25,25,Liar,3,2000-09-30
Creed,,False,21,7,26,Higher,48,2000-09-30
SoulDecision Featuring Thrust,,False,27,22,27,Faded,13,2000-09-30
Kandi,,False,33,28,28,Don't Think I'm Not,9,2000-09-30
Jagged Edge,,False,24,11,29,Let's Get Married,22,2000-09-30
Sting Featuring Cheb Mami,,False,26,17,30,Desert Rose,21,2000-09-30
Vertical Horizon,,False,37,31,31,You're A God,6,2000-09-30
Jo Dee Messina,,False,28,25,32,That's The Way,15,2000-09-30
Bon Jovi,,False,36,33,33,It's My Life,8,2000-09-30
Erykah Badu,,False,42,34,34,Bag Lady,7,2000-09-30
Son By Four,,False,39,26,35,Purest Of Pain (A Puro Dolor),26,2000-09-30
Vertical Horizon,,False,29,1,36,Everything You Want,37,2000-09-30
Aaron Carter,,False,35,35,37,Aaron's Party (Come Get It),6,2000-09-30
Toni Braxton,,False,34,32,38,Just Be A Man About It,10,2000-09-30
Faith Hill,,False,38,2,39,Breathe,48,2000-09-30
Britney Spears,,False,30,23,40,Lucky,8,2000-09-30
Debelah Morgan,,False,48,41,41,Dance With Me,10,2000-09-30
Faith Hill,,False,46,35,42,The Way You Love Me,22,2000-09-30
SHeDAISY,,False,44,43,43,I Will...But,12,2000-09-30
Marc Anthony,,False,40,2,44,You Sang To Me,32,2000-09-30
Barenaked Ladies,,False,69,45,45,Pinch Me,4,2000-09-30
P!nk,,False,41,7,46,There You Go,31,2000-09-30
Aaron Tippin,,False,52,47,47,Kiss This,6,2000-09-30
George Strait,,False,53,48,48,Go On,6,2000-09-30
Samantha Mumba,,False,65,49,49,Gotta Tell You,4,2000-09-30
Travis Tritt,,False,56,50,50,Best Of Intentions,7,2000-09-30
Common,,False,51,44,51,The Light,9,2000-09-30
Dr. Dre Featuring Snoop Dogg,,False,50,23,52,The Next Episode,19,2000-09-30
Baha Men,,False,54,53,53,Who Let The Dogs Out,11,2000-09-30
Lonestar,,False,43,30,54,What About Now,17,2000-09-30
Toby Keith,,False,58,55,55,Country Comes To Town,9,2000-09-30
John Michael Montgomery,,False,64,56,56,The Little Girl,4,2000-09-30
DMX Featuring Sisqo,,False,49,49,57,What You Want,14,2000-09-30
Eminem,,False,59,58,58,The Way I Am,6,2000-09-30
Lil' Zane Featuring 112,,False,45,21,59,Callin' Me,10,2000-09-30
Faith Hill With Tim McGraw,,False,60,60,60,Let's Make Love,8,2000-09-30
Ja Rule Featuring Christina Milian,,False,74,61,61,Between Me And You,3,2000-09-30
Alan Jackson,,False,47,37,62,It Must Be Love,15,2000-09-30
Destiny's Child,,False,78,63,63,Independent Women Part I,2,2000-09-30
Papa Roach,,False,66,61,64,Last Resort,10,2000-09-30
Da Brat Featuring Tyrese,,False,62,26,65,What'Chu Like,18,2000-09-30
Keith Urban,,False,55,51,66,Your Everything,12,2000-09-30
Yolanda Adams,,False,68,67,67,Open My Heart,6,2000-09-30
'N Sync,,True,0,68,68,This I Promise You,1,2000-09-30
Joe Diffie,,False,63,57,69,It's Always Somethin',8,2000-09-30
Third Eye Blind,,False,70,70,70,Deep Inside Of You,5,2000-09-30
R. Kelly,,True,0,71,71,I Wish,1,2000-09-30
Joe,,False,67,63,72,Treat Her Like A Lady,9,2000-09-30
Vince Gill,,False,73,73,73,Feels Like Love,5,2000-09-30
Jessica Simpson,,False,57,21,74,I Think I'm In Love With You,14,2000-09-30
Martina McBride,,False,75,75,75,There You Are,4,2000-09-30
Marc Anthony,,False,76,76,76,My Baby You,3,2000-09-30
Billy Gilman,,False,61,38,77,One Voice,16,2000-09-30
Jay-Z Featuring Memphis Bleek & Amil,,False,80,78,78,Hey Papi,8,2000-09-30
Red Hot Chili Peppers,,False,85,72,79,Californication,10,2000-09-30
Changing Faces,,True,0,80,80,That Other Woman,1,2000-09-30
Phil Vassar,,True,0,81,81,Just Another Day In Paradise,1,2000-09-30
Carl Thomas,,False,82,82,82,Summer Rain,2,2000-09-30
LeAnn Rimes,,False,79,71,83,Can't Fight The Moonlight,4,2000-09-30
Tamia,,False,86,84,84,Can't Go For That,3,2000-09-30
Don Henley,,False,83,58,85,Taking You Home,15,2000-09-30
Brooks & Dunn,,False,71,55,86,You'll Always Be Loved By Me,17,2000-09-30
Sister Hazel,,False,84,59,87,Change Your Mind,12,2000-09-30
Madison Avenue,,False,88,88,88,Don't Call Me Baby,13,2000-09-30
Ludacris Featuring Shawnna,,True,0,89,89,What's Your Fantasy,1,2000-09-30
Shyne Featuring Barrington Levy,,False,90,87,90,Bad Boyz,4,2000-09-30
Kelly Price,,False,91,91,91,You Should've Told Me,2,2000-09-30
Ideal Featuring Lil' Mo,,False,81,47,92,Whatever,17,2000-09-30
Patty Loveless,,False,93,93,93,That's The Kind Of Mood I'm In,3,2000-09-30
Mandy Moore,,False,77,24,94,I Wanna Be With You,16,2000-09-30
Whitney Houston & Enrique Iglesias,,False,87,52,95,Could I Have This Kiss Forever,16,2000-09-30
Lara Fabian,,False,89,32,96,I Will Love Again,17,2000-09-30
Billy Ray Cyrus,,False,97,97,97,You Won't Be Lonely Now,2,2000-09-30
Stone Temple Pilots,,False,94,78,98,Sour Girl,13,2000-09-30
Dream,,True,0,99,99,He Loves U Not,1,2000-09-30
Trina,,False,96,93,100,Pull Over,4,2000-09-30
